; end sc	
 C 	+0.038
 H 	+0.039
 H 	+0.039
 C 	+0.115
 H 	-0.006
 H 	-0.006
 C 	-0.010
 H 	-0.009
 H 	-0.009
 C 	+0.041
 H 	-0.020
 H 	-0.020
 C 	+0.079
 H 	-0.029
 H 	-0.029
 C 	+0.048
 H 	-0.025
 H 	-0.025
 C 	+0.060
 H 	-0.030
 H 	-0.030
 C 	+0.053
 H 	-0.028
 H 	-0.028
 C 	+0.058
 H 	-0.026
 H 	-0.026
 C 	+0.090
 H 	-0.034
 H 	-0.034
 C 	+0.000
 H 	-0.019
 H 	-0.019
 C 	+0.041
 H 	-0.022
 H 	-0.022
 C 	+0.245
 H 	-0.065
 H 	-0.065
 C 	-0.157
 H 	+0.020
 H 	+0.020
 H 	+0.020
	
; other sc	
 C 	+0.220
 H 	-0.033
 H 	-0.033
 C 	+0.083
 H 	-0.014
 H 	-0.014
 C 	+0.000
 H 	-0.017
 H 	-0.017
 C 	+0.089
 H 	-0.032
 H 	-0.032
 C 	+0.049
 H 	-0.025
 H 	-0.025
 C 	+0.045
 H 	-0.026
 H 	-0.026
 C 	+0.083
 H 	-0.036
 H 	-0.036
 C 	+0.054
 H 	-0.031
 H 	-0.031
 C 	+0.051
 H 	-0.028
 H 	-0.028
 C 	+0.125
 H 	-0.044
 H 	-0.044
 C 	-0.024
 H 	-0.014
 H 	-0.014
 C 	+0.039
 H 	-0.020
 H 	-0.020
 C 	+0.249
 H 	-0.065
 H 	-0.065
 C 	-0.161
 H 	+0.020
 H 	+0.020
 H 	+0.020
	
; end ring	
 C 	-0.099
 C 	+0.305
 C 	-0.271
 C 	-0.149
 S 	-0.051
 O 	-0.233
 H 	+0.136
	
;other ring	
 C 	+0.014
 C 	+0.262
 C 	-0.325
 C 	+0.094
 S 	-0.203
 O 	-0.284
 H 	+0.222
	
	
; terminal	
 H 	+0.177
