# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      119.4599970936    -1333.8270453800
      119.7099970936    -1333.8270509000
      119.9599970936    -1333.8270486800
      120.2099970936    -1333.8270387700
      120.4599970936    -1333.8270211800
      120.7099970936    -1333.8269959500
      120.9599970936    -1333.8269630800
      121.2099970936    -1333.8269225900
      121.4599970936    -1333.8268744900
      121.7099970936    -1333.8268187800
      121.9599970936    -1333.8267554700
      122.2099970936    -1333.8266845700
      122.4599970936    -1333.8266061000
      122.7099970936    -1333.8265200700
      122.9599970936    -1333.8264265100
      123.2099970936    -1333.8263253700
      123.4599970936    -1333.8262169100
      123.7099970936    -1333.8261009300
      123.9599970936    -1333.8259775300
      124.2099970936    -1333.8258467200
      124.4599970936    -1333.8257084900
      124.7099970936    -1333.8255628500
      124.9599970936    -1333.8254097800
      125.2099970936    -1333.8252492800
      125.4599970936    -1333.8250813400
      125.7099970936    -1333.8249059500
