[PeltierCCS 1]
	Time [s]	Tcold	Thot	Aout	CoolTime	Tset	Power
Tue May 09 12:07:50 2017	 -40.04	  18.88	  44.56	        0	 -40.00	        0
Tue May 09 12:08:01 2017	 -40.04	  18.88	  44.56	        0	 -40.00	        0
Tue May 09 12:08:12 2017	 -40.03	  18.83	  44.55	        0	 -40.00	        0
Tue May 09 12:08:22 2017	 -40.03	  18.74	  44.49	        0	 -40.00	        0
Tue May 09 12:08:33 2017	 -40.04	  18.68	  44.34	        0	 -40.00	        0
Tue May 09 12:08:43 2017	 -40.04	  18.62	  44.24	        0	 -40.00	        0
Tue May 09 12:08:54 2017	 -40.06	  18.54	  44.03	        0	 -40.00	        0
Tue May 09 12:09:05 2017	 -40.06	  18.48	  43.86	        0	 -40.00	        0
Tue May 09 12:09:15 2017	 -40.06	  18.42	  43.75	        0	 -40.00	        0
Tue May 09 12:09:26 2017	 -40.07	  18.34	  43.57	        0	 -40.00	        0
Tue May 09 12:09:37 2017	 -40.06	  18.28	  43.51	        0	 -40.00	        0
Tue May 09 12:09:47 2017	 -40.06	  18.22	  43.40	        0	 -40.00	        0
Tue May 09 12:09:58 2017	 -40.06	  18.13	  43.32	        0	 -40.00	        0
Tue May 09 12:10:09 2017	 -40.06	  18.08	  43.18	        0	 -40.00	        0
Tue May 09 12:10:19 2017	 -40.04	  18.02	  43.33	        0	 -40.00	        0
Tue May 09 12:10:30 2017	 -40.04	  17.96	  43.24	        0	 -40.00	        0
Tue May 09 12:10:40 2017	 -40.03	  17.90	  43.24	        0	 -40.00	        0
Tue May 09 12:10:51 2017	 -40.04	  17.85	  43.10	        0	 -40.00	        0
Tue May 09 12:11:02 2017	 -40.04	  17.76	  43.07	        0	 -40.00	        0
Tue May 09 12:11:12 2017	 -40.05	  17.70	  42.91	        0	 -40.00	        0
Tue May 09 12:11:23 2017	 -40.06	  17.62	  42.67	        0	 -40.00	        0
Tue May 09 12:11:34 2017	 -40.06	  17.56	  42.60	        0	 -40.00	        0
Tue May 09 12:11:44 2017	 -40.06	  17.50	  42.51	        0	 -40.00	        0
Tue May 09 12:11:55 2017	 -40.05	  17.44	  42.50	        0	 -40.00	        0
Tue May 09 12:12:05 2017	 -40.06	  17.39	  42.32	        0	 -40.00	        0
Tue May 09 12:12:16 2017	 -40.06	  17.30	  42.18	        0	 -40.00	        0
Tue May 09 12:12:27 2017	 -40.05	  17.24	  42.15	        0	 -40.00	        0
Tue May 09 12:12:37 2017	 -40.05	  17.21	  42.13	        0	 -40.00	        0
Tue May 09 12:12:48 2017	 -40.05	  17.13	  42.04	        0	 -40.00	        0
Tue May 09 12:12:59 2017	 -40.05	  17.07	  41.95	        0	 -40.00	        0
Tue May 09 12:13:09 2017	 -40.04	  16.98	  41.93	        0	 -40.00	        0
Tue May 09 12:13:20 2017	 -40.04	  16.95	  41.83	        0	 -40.00	        0
Tue May 09 12:13:31 2017	 -40.04	  16.93	  41.82	        0	 -40.00	        0
Tue May 09 12:13:41 2017	 -40.04	  16.95	  41.70	        0	 -40.00	        0
Tue May 09 12:13:52 2017	 -40.05	  16.95	  41.50	        0	 -40.00	        0
Tue May 09 12:14:02 2017	 -40.06	  16.95	  41.36	        0	 -40.00	        0
Tue May 09 12:14:13 2017	 -40.04	  17.01	  41.41	        0	 -40.00	        0
Tue May 09 12:14:24 2017	 -40.03	  17.01	  41.43	        0	 -40.00	        0
Tue May 09 12:14:34 2017	 -40.03	  17.04	  41.38	        0	 -40.00	        0
Tue May 09 12:14:45 2017	 -40.02	  17.07	  41.47	        0	 -40.00	        0
Tue May 09 12:14:56 2017	 -40.01	  17.10	  41.60	        0	 -40.00	        0
Tue May 09 12:15:06 2017	 -40.01	  17.13	  41.59	        0	 -40.00	        0
Tue May 09 12:15:17 2017	 -40.00	  17.16	  41.66	        0	 -40.00	        0
Tue May 09 12:15:28 2017	 -40.01	  17.18	  41.58	        0	 -40.00	        0
Tue May 09 12:15:38 2017	 -40.00	  17.18	  41.60	        0	 -40.00	        0
Tue May 09 12:15:49 2017	 -39.98	  17.18	  41.84	        0	 -40.00	        0
Tue May 09 12:15:59 2017	 -39.98	  17.24	  41.91	        0	 -40.00	        0
Tue May 09 12:16:10 2017	 -39.98	  17.24	  41.95	        0	 -40.00	        0
Tue May 09 12:16:21 2017	 -39.98	  17.27	  41.99	        0	 -40.00	        0
Tue May 09 12:16:31 2017	 -39.98	  17.27	  42.04	        0	 -40.00	        0
