[PeltierCCS 1]
	Time [s]	Tcold	Thot	Aout	CoolTime	Tset	Power
Tue May 09 08:23:11 2017	 -39.97	  17.44	  42.55	        0	 -40.00	        0
Tue May 09 08:23:22 2017	 -39.97	  17.44	  42.55	        0	 -40.00	        0
Tue May 09 08:23:32 2017	 -39.98	  17.47	  42.49	        0	 -40.00	        0
Tue May 09 08:23:43 2017	 -39.99	  17.47	  42.36	        0	 -40.00	        0
Tue May 09 08:23:54 2017	 -40.01	  17.50	  42.24	        0	 -40.00	        0
Tue May 09 08:24:04 2017	 -40.01	  17.50	  42.16	        0	 -40.00	        0
Tue May 09 08:24:15 2017	 -40.02	  17.53	  42.10	        0	 -40.00	        0
Tue May 09 08:24:25 2017	 -40.01	  17.53	  42.13	        0	 -40.00	        0
Tue May 09 08:24:36 2017	 -40.02	  17.53	  41.97	        0	 -40.00	        0
Tue May 09 08:24:47 2017	 -40.02	  17.56	  41.99	        0	 -40.00	        0
Tue May 09 08:24:57 2017	 -40.01	  17.59	  42.08	        0	 -40.00	        0
Tue May 09 08:25:08 2017	 -40.02	  17.59	  41.96	        0	 -40.00	        0
Tue May 09 08:25:19 2017	 -40.01	  17.62	  42.06	        0	 -40.00	        0
Tue May 09 08:25:29 2017	 -40.01	  17.62	  42.05	        0	 -40.00	        0
Tue May 09 08:25:40 2017	 -40.00	  17.65	  42.07	        0	 -40.00	        0
Tue May 09 08:25:51 2017	 -40.00	  17.65	  42.10	        0	 -40.00	        0
Tue May 09 08:26:01 2017	 -39.99	  17.67	  42.23	        0	 -40.00	        0
Tue May 09 08:26:12 2017	 -39.98	  17.70	  42.37	        0	 -40.00	        0
Tue May 09 08:26:22 2017	 -39.98	  17.70	  42.37	        0	 -40.00	        0
Tue May 09 08:26:33 2017	 -39.99	  17.73	  42.29	        0	 -40.00	        0
Tue May 09 08:26:44 2017	 -40.01	  17.76	  42.15	        0	 -40.00	        0
Tue May 09 08:26:54 2017	 -40.00	  17.76	  42.17	        0	 -40.00	        0
Tue May 09 08:27:05 2017	 -39.99	  17.76	  42.34	        0	 -40.00	        0
Tue May 09 08:27:16 2017	 -40.00	  17.82	  42.26	        0	 -40.00	        0
Tue May 09 08:27:26 2017	 -39.98	  17.82	  42.45	        0	 -40.00	        0
Tue May 09 08:27:37 2017	 -39.98	  17.85	  42.48	        0	 -40.00	        0
Tue May 09 08:27:47 2017	 -39.98	  17.85	  42.51	        0	 -40.00	        0
Tue May 09 08:27:58 2017	 -39.98	  17.88	  42.53	        0	 -40.00	        0
Tue May 09 08:28:09 2017	 -39.98	  17.88	  42.58	        0	 -40.00	        0
Tue May 09 08:28:19 2017	 -39.99	  17.90	  42.55	        0	 -40.00	        0
Tue May 09 08:28:30 2017	 -39.98	  17.93	  42.63	        0	 -40.00	        0
Tue May 09 08:28:41 2017	 -39.98	  17.96	  42.73	        0	 -40.00	        0
Tue May 09 08:28:51 2017	 -39.98	  17.96	  42.77	        0	 -40.00	        0
Tue May 09 08:29:02 2017	 -39.98	  17.99	  42.81	        0	 -40.00	        0
Tue May 09 08:29:13 2017	 -39.98	  17.99	  42.79	        0	 -40.00	        0
Tue May 09 08:29:23 2017	 -39.99	  18.02	  42.78	        0	 -40.00	        0
Tue May 09 08:29:34 2017	 -40.00	  18.02	  42.69	        0	 -40.00	        0
Tue May 09 08:29:44 2017	 -40.01	  18.05	  42.60	        0	 -40.00	        0
Tue May 09 08:29:55 2017	 -40.00	  18.05	  42.61	        0	 -40.00	        0
Tue May 09 08:30:06 2017	 -40.00	  18.08	  42.62	        0	 -40.00	        0
Tue May 09 08:30:17 2017	 -40.00	  18.11	  42.61	        0	 -40.00	        0
Tue May 09 08:30:27 2017	 -40.01	  18.11	  42.58	        0	 -40.00	        0
Tue May 09 08:30:38 2017	 -39.99	  18.13	  42.70	        0	 -40.00	        0
Tue May 09 08:30:49 2017	 -39.99	  18.13	  42.80	        0	 -40.00	        0
Tue May 09 08:30:59 2017	 -39.98	  18.16	  42.91	        0	 -40.00	        0
Tue May 09 08:31:10 2017	 -39.98	  18.16	  42.92	        0	 -40.00	        0
Tue May 09 08:31:20 2017	 -39.99	  18.19	  42.91	        0	 -40.00	        0
Tue May 09 08:31:31 2017	 -39.98	  18.19	  42.96	        0	 -40.00	        0
Tue May 09 08:31:42 2017	 -39.98	  18.22	  43.01	        0	 -40.00	        0
Tue May 09 08:31:52 2017	 -39.98	  18.25	  43.02	        0	 -40.00	        0
Tue May 09 08:32:03 2017	 -39.99	  18.25	  42.96	        0	 -40.00	        0
Tue May 09 08:32:14 2017	 -39.99	  18.28	  43.01	        0	 -40.00	        0
Tue May 09 08:32:24 2017	 -39.99	  18.28	  43.04	        0	 -40.00	        0
Tue May 09 08:32:35 2017	 -39.97	  18.31	  43.20	        0	 -40.00	        0
Tue May 09 08:32:46 2017	 -39.98	  18.34	  43.21	        0	 -40.00	        0
Tue May 09 08:32:56 2017	 -39.98	  18.34	  43.25	        0	 -40.00	        0
Tue May 09 08:33:07 2017	 -39.98	  18.36	  43.29	        0	 -40.00	        0
Tue May 09 08:33:18 2017	 -39.99	  18.36	  43.22	        0	 -40.00	        0
Tue May 09 08:33:28 2017	 -39.98	  18.39	  43.28	        0	 -40.00	        0
Tue May 09 08:33:39 2017	 -39.99	  18.42	  43.19	        0	 -40.00	        0
Tue May 09 08:33:49 2017	 -40.00	  18.42	  43.10	        0	 -40.00	        0
Tue May 09 08:34:00 2017	 -40.00	  18.45	  43.11	        0	 -40.00	        0
Tue May 09 08:34:11 2017	 -39.99	  18.45	  43.22	        0	 -40.00	        0
Tue May 09 08:34:21 2017	 -40.00	  18.48	  43.18	        0	 -40.00	        0
Tue May 09 08:34:32 2017	 -39.99	  18.48	  43.21	        0	 -40.00	        0
Tue May 09 08:34:43 2017	 -40.00	  18.51	  43.13	        0	 -40.00	        0
Tue May 09 08:34:53 2017	 -40.00	  18.54	  43.10	        0	 -40.00	        0
Tue May 09 08:35:04 2017	 -40.00	  18.54	  43.16	        0	 -40.00	        0
