[CryoJet 1]
	Time [s]	Temp T[k]	TSet	Shield flow	Sample flow	Heater pow[R5]	Heater pow[R6]	Run	Frame
Tue May 09 08:23:11 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.50	 1	 0
Tue May 09 08:23:22 2017	 173.00	 173.00	   3.00	   3.00	  22.60	  10.90	 1	 0
Tue May 09 08:23:32 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 1	 0
Tue May 09 08:23:43 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 1	 0
Tue May 09 08:23:54 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 1	 0
Tue May 09 08:24:04 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.30	 1	 0
Tue May 09 08:24:15 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 1	 0
Tue May 09 08:24:25 2017	 173.00	 173.00	   3.00	   3.00	  21.10	  10.40	 1	 0
Tue May 09 08:24:36 2017	 173.00	 173.00	   3.00	   3.00	  22.50	  10.40	 1	 0
Tue May 09 08:24:47 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 1	 0
Tue May 09 08:24:57 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 1	 0
Tue May 09 08:25:08 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 1	 0
Tue May 09 08:25:19 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.40	 1	 1
Tue May 09 08:25:29 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 1	 1
Tue May 09 08:25:40 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 1	 1
Tue May 09 08:25:50 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 1	 1
Tue May 09 08:26:01 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 1	 2
Tue May 09 08:26:12 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 1	 2
Tue May 09 08:26:22 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 1	 2
Tue May 09 08:26:33 2017	 173.00	 173.00	   3.00	   3.00	  21.50	  10.30	 1	 2
Tue May 09 08:26:43 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 1	 3
Tue May 09 08:26:54 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 1	 3
Tue May 09 08:27:05 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 1	 3
Tue May 09 08:27:15 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 1	 3
Tue May 09 08:27:26 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 1	 4
Tue May 09 08:27:37 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.10	 1	 4
Tue May 09 08:27:47 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 1	 4
Tue May 09 08:27:58 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 1	 4
Tue May 09 08:28:08 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.60	 1	 5
Tue May 09 08:28:19 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 1	 5
Tue May 09 08:28:30 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.50	 1	 5
Tue May 09 08:28:40 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 1	 5
Tue May 09 08:28:51 2017	 173.00	 173.00	   3.00	   3.00	  21.40	  10.40	 1	 5
Tue May 09 08:29:02 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.30	 1	 5
Tue May 09 08:29:12 2017	 173.00	 173.00	   3.00	   3.00	  22.20	  10.60	 2	 1
Tue May 09 08:29:23 2017	 173.00	 173.00	   3.00	   3.00	  22.20	  10.30	 2	 1
Tue May 09 08:29:33 2017	 173.00	 173.00	   3.00	   3.00	  22.20	  10.60	 2	 1
Tue May 09 08:29:44 2017	 173.00	 173.00	   3.00	   3.00	  21.50	  11.00	 2	 1
