[ProfileCorrInt 1]

    -3.944  0.010064
    -3.810  0.013064
    -3.675  0.013064
    -3.541  0.003496
    -3.406 -0.036035
    -3.272 -0.036035
    -3.137 -0.029418
    -3.003 -0.016183
    -2.868 -0.004293
    -2.734  0.028254
    -2.599 -0.002528
    -2.465  0.010772
    -2.330 -0.004297
    -2.196  0.003879
    -2.061  0.004889
    -1.927 -0.002712
    -1.792  0.005285
    -1.658  0.015400
    -1.523  0.018061
    -1.389  0.020735
    -1.254  0.041155
    -1.120  0.047919
    -0.985  0.064299
    -0.851  0.089656
    -0.716  0.116806
    -0.582  0.156036
    -0.448  0.210014
    -0.313  0.263753
    -0.179  0.340839
    -0.044  0.422974
     0.090  0.529608
     0.225  0.637021
     0.359  0.728065
     0.494  0.812027
     0.628  0.861520
     0.763  0.900341
     0.897  0.915066
     1.032  0.926855
     1.166  0.937561
     1.301  0.943729
     1.435  0.948279
     1.570  0.951385
     1.704  0.947371
     1.839  0.951673
     1.973  0.949974
     2.108  0.954220
     2.242  0.943328
     2.377  0.960028
     2.511  0.979744
     2.646  0.963377
