   H   K   L     x     y   Run Frame
   4  -2 -18   706  1015     2    24
   4   8  -5   214     2     2    40
   5  -3  -7   160  1022     2    42
   5   8  -1   359     4     2    66
   4  -2   5     7   729     2    86
   7   8   0   869    12     2    91
   1  -9  10     8   632     7     1
   1  -9   1   442  1021     7     4
  -1 -11   7    11   871     7    21
  -3  -3  13   157     9     7    34
  -2   3   6   800     7     7    71
  -4   2   7   443     6     7    84
  -5   2   6   272     5     7    90
