[PowderGraph 1]
2thetadeg	d-value	intx	sigx	count
   0.00100  88267.70067    0.00000    0.00000          0
   0.01100   8025.27261    0.00000    0.00000          0
   0.02100   4203.73760    0.00000    0.00000          0
   0.03100   2847.69884    0.00000    0.00000          0
   0.04099   2153.14034    0.00000    0.00000          0
   0.05099   1730.95704    0.00000    0.00000          0
   0.06099   1447.19421    0.00000    0.00000          0
   0.07099   1243.36443    0.00000    0.00000          0
   0.08099   1089.86291    0.00000    0.00000          0
   0.09099    970.09795    0.00000    0.00000          0
   0.10099    874.04879    0.00000    0.00000          0
   0.11099    795.30577    0.00000    0.00000          0
   0.12098    729.57811    0.00000    0.00000          0
   0.13098    673.88520    0.00000    0.00000          0
   0.14098    626.09199    0.00000    0.00000          0
   0.15098    584.62900    0.00000    0.00000          0
   0.16098    548.31669    0.00000    0.00000          0
   0.17098    516.25143    0.00000    0.00000          0
   0.18098    487.72930    0.00000    0.00000          0
   0.19098    462.19377    0.00000    0.00000          0
   0.20097    439.19909    0.00000    0.00000          0
   0.21097    418.38400    0.00000    0.00000          0
   0.22097    399.45263    0.00000    0.00000          0
   0.23097    382.16034    0.00000    0.00000          0
   0.24097    366.30310    0.00000    0.00000          0
   0.25097    351.70938    0.00000    0.00000          0
   0.26097    338.23395    0.00000    0.00000          0
   0.27097    325.75302    0.00000    0.00000          0
   0.28096    314.16042    0.00000    0.00000          0
   0.29096    303.36455    0.00000    0.00000          0
   0.30096    293.28602    0.00000    0.00000          0
   0.31096    283.85563    0.00000    0.00000          0
   0.32096    275.01280    0.00000    0.00000          0
   0.33096    266.70428    0.00000    0.00000          0
   0.34096    258.88307    0.00000    0.00000          0
   0.35096    251.50750    0.00000    0.00000          0
   0.36095    244.54056    0.00000    0.00000          0
   0.37095    237.94920    0.00000    0.00000          0
   0.38095    231.70384    0.00000    0.00000          0
   0.39095    225.77793    0.00000    0.00000          0
   0.40095    220.14758    0.00000    0.00000          0
   0.41095    214.79122    0.00000    0.00000          0
   0.42095    209.68931    0.00000    0.00000          0
   0.43094    204.82415    0.00000    0.00000          0
   0.44094    200.17964    0.00000    0.00000          0
   0.45094    195.74109    0.00000    0.00000          0
   0.46094    191.49510    0.00000    0.00000          0
   0.47094    187.42941    0.00000    0.00000          0
   0.48094    183.53277    0.00000    0.00000          0
   0.49094    179.79486    0.00000    0.00000          0
   0.50094    176.20616    0.00000    0.00000          0
   0.51093    172.75792    0.00000    0.00000          0
   0.52093    169.44206    0.00000    0.00000          0
   0.53093    166.25108    0.00000    0.00000          0
   0.54093    163.17807    0.00000    0.00000          0
   0.55093    160.21660    0.00000    0.00000          0
   0.56093    157.36071    0.00000    0.00000          0
   0.57093    154.60486    0.00000    0.00000          0
   0.58093    151.94387    0.00000    0.00000          0
   0.59092    149.37293    0.00000    0.00000          0
   0.60092    146.88754    0.00000    0.00000          0
   0.61092    144.48352    0.00000    0.00000          0
   0.62092    142.15691    0.00000    0.00000          0
   0.63092    139.90405    0.00000    0.00000          0
   0.64092    137.72148    0.00000    0.00000          0
   0.65092    135.60597    0.00000    0.00000          0
   0.66092    133.55446    0.00000    0.00000          0
   0.67091    131.56411    0.00000    0.00000          0
   0.68091    129.63220    0.00000    0.00000          0
   0.69091    127.75622    0.00000    0.00000          0
   0.70091    125.93376    0.00000    0.00000          0
   0.71091    124.16256    0.00000    0.00000          0
   0.72091    122.44049    0.00000    0.00000          0
   0.73091    120.76554    0.00000    0.00000          0
   0.74091    119.13580    0.00000    0.00000          0
   0.75090    117.54946    0.00000    0.00000          0
   0.76090    116.00481    0.00000    0.00000          0
   0.77090    114.50023    0.00000    0.00000          0
   0.78090    113.03418    0.00000    0.00000          0
   0.79090    111.60520    0.00000    0.00000          0
   0.80090    110.21190    0.00000    0.00000          0
   0.81090    108.85296    0.00000    0.00000          0
   0.82089    107.52713    0.00000    0.00000          0
   0.83089    106.23320    0.00000    0.00000          0
   0.84089    104.97004    0.00000    0.00000          0
   0.85089    103.73658    0.00000    0.00000          0
   0.86089    102.53176    0.00000    0.00000          0
   0.87089    101.35461    0.00000    0.00000          0
   0.88089    100.20418    0.00000    0.00000          0
   0.89089     99.07958    0.00000    0.00000          0
   0.90088     97.97994    0.00000    0.00000          0
   0.91088     96.90444    0.00000    0.00000          0
   0.92088     95.85230    0.00000    0.00000          0
   0.93088     94.82276    0.00000    0.00000          0
   0.94088     93.81510    0.00000    0.00000          0
   0.95088     92.82863    0.00000    0.00000          0
   0.96088     91.86270    0.00000    0.00000          0
   0.97088     90.91666    0.00000    0.00000          0
   0.98087     89.98990    0.00000    0.00000          0
   0.99087     89.08185    0.00000    0.00000          0
   1.00087     88.19195    0.00000    0.00000          0
   1.01087     87.31965    0.00000    0.00000          0
   1.02087     86.46443    0.00000    0.00000          0
   1.03087     85.62581    0.00000    0.00000          0
   1.04087     84.80330    0.00000    0.00000          0
   1.05087     83.99644    0.00000    0.00000          0
   1.06086     83.20479    0.00000    0.00000          0
   1.07086     82.42792    0.00000    0.00000          0
   1.08086     81.66543    0.00000    0.00000          0
   1.09086     80.91691    0.00000    0.00000          0
   1.10086     80.18199    0.00000    0.00000          0
   1.11086     79.46031    0.00000    0.00000          0
   1.12086     78.75150    0.00000    0.00000          0
   1.13086     78.05522    0.00000    0.00000          0
   1.14085     77.37115    0.00000    0.00000          0
   1.15085     76.69896    0.00000    0.00000          0
   1.16085     76.03835    0.00000    0.00000          0
   1.17085     75.38903    0.00000    0.00000          0
   1.18085     74.75070    0.00000    0.00000          0
   1.19085     74.12310    0.00000    0.00000          0
   1.20085     73.50594    0.00000    0.00000          0
   1.21084     72.89898    0.00000    0.00000          0
   1.22084     72.30196    0.00000    0.00000          0
   1.23084     71.71464    0.00000    0.00000          0
   1.24084     71.13678    0.00000    0.00000          0
   1.25084     70.56816    0.00000    0.00000          0
   1.26084     70.00857    0.00000    0.00000          0
   1.27084     69.45777    0.00000    0.00000          0
   1.28084     68.91558    0.00000    0.00000          0
   1.29083     68.38179    0.00000    0.00000          0
   1.30083     67.85620    0.00000    0.00000          0
   1.31083     67.33863    0.00000    0.00000          0
   1.32083     66.82890    0.00000    0.00000          0
   1.33083     66.32683    0.00000    0.00000          0
   1.34083     65.83224    0.00000    0.00000          0
   1.35083     65.34498    0.00000    0.00000          0
   1.36083     64.86488    0.00000    0.00000          0
   1.37082     64.39178    0.00000    0.00000          0
   1.38082     63.92553    0.00000    0.00000          0
   1.39082     63.46599    0.00000    0.00000          0
   1.40082     63.01300    0.00000    0.00000          0
   1.41082     62.56644    0.00000    0.00000          0
   1.42082     62.12617    0.00000    0.00000          0
   1.43082     61.69204    0.00000    0.00000          0
   1.44082     61.26395    0.00000    0.00000          0
   1.45081     60.84175    0.00000    0.00000          0
   1.46081     60.42533    0.00000    0.00000          0
   1.47081     60.01458    0.00000    0.00000          0
   1.48081     59.60937    0.00000    0.00000          0
   1.49081     59.20960    0.00000    0.00000          0
   1.50081     58.81515    0.00000    0.00000          0
   1.51081     58.42593    0.00000    0.00000          0
   1.52080     58.04182    0.00000    0.00000          0
   1.53080     57.66273    0.00000    0.00000          0
   1.54080     57.28857    0.00000    0.00000          0
   1.55080     56.91922    0.00000    0.00000          0
   1.56080     56.55461    0.00000    0.00000          0
   1.57080     56.19464    0.00000    0.00000          0
   1.58080     55.83923    0.00000    0.00000          0
   1.59080     55.48828    0.00000    0.00000          0
   1.60079     55.14172    0.00000    0.00000          0
   1.61079     54.79946    0.00000    0.00000          0
   1.62079     54.46142    0.00000    0.00000          0
   1.63079     54.12753    0.00000    0.00000          0
   1.64079     53.79771    0.00000    0.00000          0
   1.65079     53.47188    0.00000    0.00000          0
   1.66079     53.14998    0.00000    0.00000          0
   1.67079     52.83193    0.00000    0.00000          0
   1.68078     52.51766    0.00000    0.00000          0
   1.69078     52.20711    0.00000    0.00000          0
   1.70078     51.90021    0.00000    0.00000          0
   1.71078     51.59690    0.00000    0.00000          0
   1.72078     51.29712    0.00000    0.00000          0
   1.73078     51.00080    0.00000    0.00000          0
   1.74078     50.70788    0.00000    0.00000          0
   1.75078     50.41831    0.00000    0.00000          0
   1.76077     50.13202    0.00000    0.00000          0
   1.77077     49.84898    0.00000    0.00000          0
   1.78077     49.56910    0.00000    0.00000          0
   1.79077     49.29236    0.00000    0.00000          0
   1.80077     49.01869    0.00000    0.00000          0
   1.81077     48.74804    0.00000    0.00000          0
   1.82077     48.48036    0.00000    0.00000          0
   1.83077     48.21561    0.00000    0.00000          0
   1.84076     47.95373    0.00000    0.00000          0
