[PeltierCCS 1]
	Time [s]	Tcold	Thot	Aout	CoolTime	Tset	Power
Wed Apr 26 07:10:33 2017	 -40.05	  17.67	  42.96	        0	 -40.00	        0
Wed Apr 26 07:10:44 2017	 -40.05	  17.67	  42.96	        0	 -40.00	        0
Wed Apr 26 07:10:54 2017	 -40.06	  17.59	  42.77	        0	 -40.00	        0
Wed Apr 26 07:11:05 2017	 -40.06	  17.56	  42.62	        0	 -40.00	        0
Wed Apr 26 07:11:16 2017	 -40.05	  17.47	  42.62	        0	 -40.00	        0
Wed Apr 26 07:11:26 2017	 -40.06	  17.42	  42.44	        0	 -40.00	        0
Wed Apr 26 07:11:37 2017	 -40.06	  17.33	  42.36	        0	 -40.00	        0
Wed Apr 26 07:11:48 2017	 -40.06	  17.27	  42.25	        0	 -40.00	        0
Wed Apr 26 07:11:58 2017	 -40.06	  17.21	  42.16	        0	 -40.00	        0
Wed Apr 26 07:12:09 2017	 -40.04	  17.16	  42.26	        0	 -40.00	        0
Wed Apr 26 07:12:20 2017	 -40.04	  17.10	  42.14	        0	 -40.00	        0
Wed Apr 26 07:12:30 2017	 -40.05	  17.07	  41.97	        0	 -40.00	        0
Wed Apr 26 07:12:41 2017	 -40.05	  17.13	  41.91	        0	 -40.00	        0
Wed Apr 26 07:12:51 2017	 -40.05	  17.13	  41.77	        0	 -40.00	        0
Wed Apr 26 07:13:02 2017	 -40.03	  17.13	  41.89	        0	 -40.00	        0
Wed Apr 26 07:13:13 2017	 -40.03	  17.16	  41.83	        0	 -40.00	        0
Wed Apr 26 07:13:23 2017	 -40.04	  17.18	  41.67	        0	 -40.00	        0
Wed Apr 26 07:13:34 2017	 -40.03	  17.21	  41.70	        0	 -40.00	        0
Wed Apr 26 07:13:45 2017	 -40.02	  17.24	  41.78	        0	 -40.00	        0
Wed Apr 26 07:13:55 2017	 -40.01	  17.27	  41.91	        0	 -40.00	        0
Wed Apr 26 07:14:06 2017	 -40.01	  17.27	  41.90	        0	 -40.00	        0
Wed Apr 26 07:14:17 2017	 -40.01	  17.30	  41.89	        0	 -40.00	        0
Wed Apr 26 07:14:27 2017	 -39.99	  17.33	  42.06	        0	 -40.00	        0
Wed Apr 26 07:14:38 2017	 -39.98	  17.36	  42.19	        0	 -40.00	        0
Wed Apr 26 07:14:48 2017	 -39.98	  17.36	  42.24	        0	 -40.00	        0
Wed Apr 26 07:14:59 2017	 -39.98	  17.39	  42.21	        0	 -40.00	        0
Wed Apr 26 07:15:10 2017	 -39.99	  17.39	  42.16	        0	 -40.00	        0
Wed Apr 26 07:15:20 2017	 -39.98	  17.42	  42.29	        0	 -40.00	        0
Wed Apr 26 07:15:31 2017	 -39.98	  17.44	  42.36	        0	 -40.00	        0
Wed Apr 26 07:15:42 2017	 -39.98	  17.44	  42.40	        0	 -40.00	        0
Wed Apr 26 07:15:52 2017	 -39.98	  17.47	  42.44	        0	 -40.00	        0
Wed Apr 26 07:16:03 2017	 -39.98	  17.47	  42.48	        0	 -40.00	        0
Wed Apr 26 07:16:14 2017	 -39.98	  17.50	  42.48	        0	 -40.00	        0
Wed Apr 26 07:16:24 2017	 -39.99	  17.53	  42.47	        0	 -40.00	        0
Wed Apr 26 07:16:35 2017	 -39.99	  17.56	  42.47	        0	 -40.00	        0
Wed Apr 26 07:16:46 2017	 -39.99	  17.56	  42.52	        0	 -40.00	        0
Wed Apr 26 07:16:56 2017	 -39.98	  17.56	  42.61	        0	 -40.00	        0
Wed Apr 26 07:17:07 2017	 -40.00	  17.59	  42.41	        0	 -40.00	        0
Wed Apr 26 07:17:17 2017	 -39.98	  17.62	  42.63	        0	 -40.00	        0
Wed Apr 26 07:17:28 2017	 -39.98	  17.62	  42.70	        0	 -40.00	        0
Wed Apr 26 07:17:39 2017	 -39.98	  17.65	  42.73	        0	 -40.00	        0
Wed Apr 26 07:17:49 2017	 -39.98	  17.65	  42.71	        0	 -40.00	        0
Wed Apr 26 07:18:00 2017	 -39.99	  17.65	  42.63	        0	 -40.00	        0
Wed Apr 26 07:18:11 2017	 -40.00	  17.67	  42.57	        0	 -40.00	        0
Wed Apr 26 07:18:21 2017	 -39.99	  17.70	  42.71	        0	 -40.00	        0
Wed Apr 26 07:18:32 2017	 -39.99	  17.73	  42.74	        0	 -40.00	        0
Wed Apr 26 07:18:43 2017	 -39.99	  17.73	  42.78	        0	 -40.00	        0
Wed Apr 26 07:18:53 2017	 -39.99	  17.76	  42.81	        0	 -40.00	        0
Wed Apr 26 07:19:04 2017	 -39.99	  17.76	  42.83	        0	 -40.00	        0
Wed Apr 26 07:19:15 2017	 -39.99	  17.79	  42.76	        0	 -40.00	        0
Wed Apr 26 07:19:25 2017	 -39.98	  17.82	  42.88	        0	 -40.00	        0
Wed Apr 26 07:19:36 2017	 -39.98	  17.82	  42.91	        0	 -40.00	        0
Wed Apr 26 07:19:47 2017	 -39.98	  17.85	  42.95	        0	 -40.00	        0
Wed Apr 26 07:19:57 2017	 -40.00	  17.85	  42.82	        0	 -40.00	        0
Wed Apr 26 07:20:08 2017	 -40.00	  17.88	  42.81	        0	 -40.00	        0
Wed Apr 26 07:20:18 2017	 -39.99	  17.88	  42.86	        0	 -40.00	        0
Wed Apr 26 07:20:29 2017	 -39.98	  17.90	  43.00	        0	 -40.00	        0
Wed Apr 26 07:20:40 2017	 -39.98	  17.93	  43.08	        0	 -40.00	        0
Wed Apr 26 07:20:50 2017	 -39.98	  17.93	  43.12	        0	 -40.00	        0
Wed Apr 26 07:21:01 2017	 -39.98	  17.96	  43.13	        0	 -40.00	        0
Wed Apr 26 07:21:12 2017	 -39.98	  17.99	  43.17	        0	 -40.00	        0
Wed Apr 26 07:21:22 2017	 -39.98	  17.99	  43.18	        0	 -40.00	        0
Wed Apr 26 07:21:33 2017	 -39.98	  18.02	  43.18	        0	 -40.00	        0
Wed Apr 26 07:21:44 2017	 -39.99	  18.02	  43.16	        0	 -40.00	        0
Wed Apr 26 07:21:54 2017	 -39.99	  18.05	  43.12	        0	 -40.00	        0
Wed Apr 26 07:22:05 2017	 -39.99	  18.05	  43.17	        0	 -40.00	        0
Wed Apr 26 07:22:15 2017	 -39.99	  18.08	  43.14	        0	 -40.00	        0
Wed Apr 26 07:22:26 2017	 -40.00	  18.08	  43.12	        0	 -40.00	        0
Wed Apr 26 07:22:37 2017	 -39.98	  18.11	  43.30	        0	 -40.00	        0
Wed Apr 26 07:22:47 2017	 -39.98	  18.13	  43.31	        0	 -40.00	        0
Wed Apr 26 07:22:58 2017	 -39.98	  18.13	  43.37	        0	 -40.00	        0
Wed Apr 26 07:23:09 2017	 -40.00	  18.16	  43.21	        0	 -40.00	        0
Wed Apr 26 07:23:19 2017	 -40.00	  18.16	  43.21	        0	 -40.00	        0
Wed Apr 26 07:23:30 2017	 -39.99	  18.19	  43.34	        0	 -40.00	        0
Wed Apr 26 07:23:41 2017	 -40.00	  18.22	  43.26	        0	 -40.00	        0
Wed Apr 26 07:23:51 2017	 -39.99	  18.22	  43.34	        0	 -40.00	        0
Wed Apr 26 07:24:02 2017	 -39.99	  18.25	  43.31	        0	 -40.00	        0
Wed Apr 26 07:24:12 2017	 -39.98	  18.28	  43.51	        0	 -40.00	        0
Wed Apr 26 07:24:23 2017	 -39.98	  18.28	  43.48	        0	 -40.00	        0
Wed Apr 26 07:24:34 2017	 -39.98	  18.31	  43.50	        0	 -40.00	        0
Wed Apr 26 07:24:44 2017	 -39.98	  18.31	  43.57	        0	 -40.00	        0
Wed Apr 26 07:24:55 2017	 -39.98	  18.34	  43.62	        0	 -40.00	        0
Wed Apr 26 07:25:06 2017	 -39.98	  18.34	  43.64	        0	 -40.00	        0
Wed Apr 26 07:25:16 2017	 -39.98	  18.36	  43.72	        0	 -40.00	        0
Wed Apr 26 07:25:27 2017	 -39.98	  18.39	  43.73	        0	 -40.00	        0
Wed Apr 26 07:25:38 2017	 -39.99	  18.39	  43.71	        0	 -40.00	        0
Wed Apr 26 07:25:48 2017	 -39.98	  18.42	  43.81	        0	 -40.00	        0
Wed Apr 26 07:25:59 2017	 -39.99	  18.42	  43.78	        0	 -40.00	        0
Wed Apr 26 07:26:09 2017	 -40.00	  18.45	  43.58	        0	 -40.00	        0
Wed Apr 26 07:26:20 2017	 -40.00	  18.48	  43.57	        0	 -40.00	        0
Wed Apr 26 07:26:31 2017	 -39.99	  18.48	  43.76	        0	 -40.00	        0
Wed Apr 26 07:26:42 2017	 -39.99	  18.48	  43.80	        0	 -40.00	        0
