[PeltierCCS 1]
	Time [s]	Tcold	Thot	Aout	CoolTime	Tset	Power
Wed Apr 26 07:02:11 2017	 -39.98	  19.66	  44.83	        0	 -40.00	        0
Wed Apr 26 07:02:22 2017	 -39.98	  19.66	  44.83	        0	 -40.00	        0
Wed Apr 26 07:02:32 2017	 -39.97	  19.69	  44.96	        0	 -40.00	        0
Wed Apr 26 07:02:43 2017	 -39.95	  19.72	  45.17	        0	 -40.00	        0
Wed Apr 26 07:02:54 2017	 -39.95	  19.75	  45.27	        0	 -40.00	        0
Wed Apr 26 07:03:04 2017	 -39.96	  19.75	  45.31	        0	 -40.00	        0
Wed Apr 26 07:03:15 2017	 -39.95	  19.78	  45.43	        0	 -40.00	        0
Wed Apr 26 07:03:26 2017	 -39.96	  19.78	  45.47	        0	 -40.00	        0
Wed Apr 26 07:03:36 2017	 -39.97	  19.80	  45.37	        0	 -40.00	        0
Wed Apr 26 07:03:47 2017	 -39.97	  19.80	  45.44	        0	 -40.00	        0
Wed Apr 26 07:03:57 2017	 -39.96	  19.83	  45.59	        0	 -40.00	        0
Wed Apr 26 07:04:08 2017	 -39.98	  19.83	  45.49	        0	 -40.00	        0
Wed Apr 26 07:04:19 2017	 -39.98	  19.86	  45.53	        0	 -40.00	        0
Wed Apr 26 07:04:29 2017	 -39.98	  19.89	  45.57	        0	 -40.00	        0
Wed Apr 26 07:04:40 2017	 -39.98	  19.86	  45.53	        0	 -40.00	        0
Wed Apr 26 07:04:51 2017	 -39.98	  19.80	  45.59	        0	 -40.00	        0
Wed Apr 26 07:05:01 2017	 -39.99	  19.75	  45.50	        0	 -40.00	        0
Wed Apr 26 07:05:12 2017	 -40.00	  19.69	  45.38	        0	 -40.00	        0
Wed Apr 26 07:05:22 2017	 -40.01	  19.60	  45.36	        0	 -40.00	        0
Wed Apr 26 07:05:33 2017	 -40.01	  19.57	  45.35	        0	 -40.00	        0
Wed Apr 26 07:05:44 2017	 -40.01	  19.49	  45.28	        0	 -40.00	        0
Wed Apr 26 07:05:54 2017	 -40.02	  19.43	  45.12	        0	 -40.00	        0
Wed Apr 26 07:06:05 2017	 -40.03	  19.37	  45.01	        0	 -40.00	        0
Wed Apr 26 07:06:16 2017	 -40.03	  19.31	  44.91	        0	 -40.00	        0
Wed Apr 26 07:06:26 2017	 -40.03	  19.23	  44.85	        0	 -40.00	        0
Wed Apr 26 07:06:37 2017	 -40.03	  19.17	  44.79	        0	 -40.00	        0
Wed Apr 26 07:06:48 2017	 -40.03	  19.11	  44.73	        0	 -40.00	        0
Wed Apr 26 07:06:58 2017	 -40.03	  19.06	  44.67	        0	 -40.00	        0
Wed Apr 26 07:07:09 2017	 -40.05	  18.97	  44.49	        0	 -40.00	        0
Wed Apr 26 07:07:19 2017	 -40.05	  18.91	  44.39	        0	 -40.00	        0
Wed Apr 26 07:07:30 2017	 -40.05	  18.85	  44.26	        0	 -40.00	        0
Wed Apr 26 07:07:41 2017	 -40.06	  18.80	  44.10	        0	 -40.00	        0
