[CryoJet 1]
	Time [s]	Temp T[k]	TSet	Shield flow	Sample flow	Heater pow[R5]	Heater pow[R6]	Run	Frame
Wed Apr 26 07:02:11 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 1	 0
Wed Apr 26 07:02:22 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 1	 1
Wed Apr 26 07:02:32 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 1	 3
Wed Apr 26 07:02:43 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 1	 5
Wed Apr 26 07:02:54 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 1	 5
Wed Apr 26 07:03:04 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 1	 5
Wed Apr 26 07:03:15 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 2	 2
Wed Apr 26 07:03:25 2017	 172.90	 173.00	   3.00	   3.00	  22.60	  10.80	 2	 4
Wed Apr 26 07:03:36 2017	 172.90	 173.00	   3.00	   3.00	  22.30	  10.70	 2	 5
Wed Apr 26 07:03:47 2017	 172.90	 173.00	   3.00	   3.00	  22.30	  10.70	 2	 5
Wed Apr 26 07:03:58 2017	 172.90	 173.00	   3.00	   3.00	  22.30	  10.70	 3	 2
Wed Apr 26 07:04:08 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 3	 4
Wed Apr 26 07:04:19 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 3	 5
Wed Apr 26 07:04:30 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.30	 3	 5
Wed Apr 26 07:04:40 2017	 173.00	 173.00	   3.00	   3.00	  21.40	  10.30	 4	 1
Wed Apr 26 07:04:51 2017	 173.00	 173.00	   3.00	   3.00	  21.50	  10.30	 4	 2
Wed Apr 26 07:05:01 2017	 173.00	 173.00	   3.00	   3.00	  21.50	  10.30	 4	 2
Wed Apr 26 07:05:12 2017	 173.00	 173.00	   3.00	   3.00	  21.40	  10.30	 4	 3
Wed Apr 26 07:05:23 2017	 173.00	 173.00	   3.00	   3.00	  21.50	  10.30	 4	 4
Wed Apr 26 07:05:33 2017	 173.00	 173.00	   3.00	   3.00	  21.40	  10.30	 4	 5
Wed Apr 26 07:05:44 2017	 173.00	 173.00	   3.00	   3.00	  21.50	  10.30	 4	 5
Wed Apr 26 07:05:55 2017	 173.00	 173.00	   3.00	   3.00	  21.50	  10.30	 5	 1
Wed Apr 26 07:06:05 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 5	 2
Wed Apr 26 07:06:16 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 5	 3
Wed Apr 26 07:06:26 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 5	 4
Wed Apr 26 07:06:37 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 5	 5
Wed Apr 26 07:06:48 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.60	 5	 5
Wed Apr 26 07:06:58 2017	 173.00	 173.00	   3.00	   3.00	  22.20	  10.70	 6	 1
Wed Apr 26 07:07:09 2017	 173.00	 173.00	   3.00	   3.00	  22.20	  10.60	 6	 2
Wed Apr 26 07:07:19 2017	 172.90	 173.00	   3.00	   3.00	  22.20	  10.70	 6	 3
Wed Apr 26 07:07:30 2017	 172.90	 173.00	   3.00	   3.00	  22.20	  10.60	 6	 4
Wed Apr 26 07:07:41 2017	 172.90	 173.00	   3.00	   3.00	  22.20	  10.70	 6	 5
