[CryoJet 1]
	Time [s]	Temp T[k]	TSet	Shield flow	Sample flow	Heater pow[R5]	Heater pow[R6]	Run	Frame
Wed Apr 26 07:10:33 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.40	 1	 0
Wed Apr 26 07:10:44 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 1	 0
Wed Apr 26 07:10:54 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 1	 0
Wed Apr 26 07:11:05 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 1	 2
Wed Apr 26 07:11:16 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 1	 4
Wed Apr 26 07:11:26 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 1	 6
Wed Apr 26 07:11:37 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 1	 8
Wed Apr 26 07:11:48 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 1	 10
Wed Apr 26 07:11:58 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 1	 13
Wed Apr 26 07:12:09 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 1	 15
Wed Apr 26 07:12:19 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 1	 17
Wed Apr 26 07:12:30 2017	 173.00	 173.00	   3.00	   3.00	  22.10	  10.60	 1	 19
Wed Apr 26 07:12:41 2017	 173.00	 173.00	   3.00	   3.00	  22.30	  10.70	 1	 21
Wed Apr 26 07:12:51 2017	 173.00	 173.00	   3.00	   3.00	  22.40	  10.80	 1	 23
Wed Apr 26 07:13:02 2017	 172.90	 173.00	   3.00	   3.00	  22.50	  10.80	 1	 25
Wed Apr 26 07:13:13 2017	 172.90	 173.00	   3.00	   3.00	  22.50	  10.80	 1	 28
Wed Apr 26 07:13:23 2017	 172.90	 173.00	   3.00	   3.00	  22.50	  10.80	 1	 30
Wed Apr 26 07:13:34 2017	 172.90	 173.00	   3.00	   3.00	  22.50	  10.80	 1	 32
Wed Apr 26 07:13:44 2017	 173.00	 173.00	   3.00	   3.00	  22.30	  10.70	 1	 34
Wed Apr 26 07:13:55 2017	 173.00	 173.00	   3.00	   3.00	  22.20	  10.70	 1	 36
Wed Apr 26 07:14:06 2017	 173.00	 173.00	   3.00	   3.00	  22.00	  10.50	 1	 38
Wed Apr 26 07:14:16 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 1	 40
Wed Apr 26 07:14:27 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 1	 42
Wed Apr 26 07:14:38 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 1	 44
Wed Apr 26 07:14:48 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 1	 47
Wed Apr 26 07:14:59 2017	 173.00	 173.00	   3.00	   3.00	  21.50	  10.30	 1	 49
Wed Apr 26 07:15:09 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 1	 50
Wed Apr 26 07:15:20 2017	 173.10	 173.00	   3.00	   3.00	  21.40	  10.30	 1	 50
Wed Apr 26 07:15:31 2017	 173.10	 173.00	   3.00	   3.00	  21.40	  10.20	 1	 50
Wed Apr 26 07:15:41 2017	 173.10	 173.00	   3.00	   3.00	  21.40	  10.30	 1	 52
Wed Apr 26 07:15:52 2017	 173.10	 173.00	   3.00	   3.00	  21.30	  10.20	 1	 54
Wed Apr 26 07:16:03 2017	 173.10	 173.00	   3.00	   3.00	  21.20	  10.20	 1	 56
Wed Apr 26 07:16:13 2017	 173.10	 173.00	   3.00	   3.00	  21.30	  10.20	 1	 59
Wed Apr 26 07:16:24 2017	 173.10	 173.00	   3.00	   3.00	  21.30	  10.20	 1	 61
Wed Apr 26 07:16:34 2017	 173.10	 173.00	   3.00	   3.00	  21.20	  10.20	 1	 63
Wed Apr 26 07:16:45 2017	 173.10	 173.00	   3.00	   3.00	  21.20	  10.20	 1	 65
Wed Apr 26 07:16:56 2017	 173.10	 173.00	   3.00	   3.00	  21.20	  10.20	 1	 67
Wed Apr 26 07:17:06 2017	 173.10	 173.00	   3.00	   3.00	  21.40	  10.30	 1	 69
Wed Apr 26 07:17:17 2017	 173.10	 173.00	   3.00	   3.00	  21.40	  10.30	 1	 71
Wed Apr 26 07:17:28 2017	 173.10	 173.00	   3.00	   3.00	  21.40	  10.30	 1	 73
Wed Apr 26 07:17:38 2017	 173.10	 173.00	   3.00	   3.00	  21.50	  10.30	 1	 76
Wed Apr 26 07:17:49 2017	 173.10	 173.00	   3.00	   3.00	  21.50	  10.30	 1	 78
Wed Apr 26 07:17:59 2017	 173.00	 173.00	   3.00	   3.00	  21.50	  10.30	 1	 80
Wed Apr 26 07:18:10 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.30	 1	 82
Wed Apr 26 07:18:21 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 1	 84
Wed Apr 26 07:18:31 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 1	 86
Wed Apr 26 07:18:42 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 1	 88
Wed Apr 26 07:18:53 2017	 173.00	 173.00	   3.00	   3.00	  21.60	  10.40	 1	 88
Wed Apr 26 07:19:03 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 2	 2
Wed Apr 26 07:19:14 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 2	 5
Wed Apr 26 07:19:24 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 2	 7
Wed Apr 26 07:19:35 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 2	 9
Wed Apr 26 07:19:46 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 2	 11
Wed Apr 26 07:19:56 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 2	 12
Wed Apr 26 07:20:07 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 2	 12
Wed Apr 26 07:20:18 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 2	 12
Wed Apr 26 07:20:28 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 2	 12
Wed Apr 26 07:20:39 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 2	 12
Wed Apr 26 07:20:49 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 2	 14
Wed Apr 26 07:21:00 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 2	 17
Wed Apr 26 07:21:11 2017	 173.00	 173.00	   3.00	   3.00	  21.90	  10.50	 2	 19
Wed Apr 26 07:21:21 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 2	 21
Wed Apr 26 07:21:32 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 2	 23
Wed Apr 26 07:21:43 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 2	 25
Wed Apr 26 07:21:53 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 2	 27
Wed Apr 26 07:22:04 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 2	 29
Wed Apr 26 07:22:15 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 2	 31
Wed Apr 26 07:22:25 2017	 173.00	 173.00	   3.00	   3.00	  21.70	  10.40	 2	 34
Wed Apr 26 07:22:36 2017	 173.00	 173.00	   3.00	   3.00	  21.80	  10.50	 2	 36
