[ProfileCorrInt 1]

    -2.463  0.349522
    -2.365  0.058290
    -2.266  0.079051
    -2.168  0.079051
    -2.069  0.178784
    -1.971  0.103273
    -1.872 -0.013357
    -1.774  0.100605
    -1.675 -0.042466
    -1.577  0.136953
    -1.478  0.095268
    -1.380 -0.038074
    -1.281  0.174748
    -1.183  0.115335
    -1.084  0.074581
    -0.986  0.160364
    -0.887  0.104846
    -0.789  0.116384
    -0.690  0.212501
    -0.592  0.219801
    -0.493  0.195823
    -0.395  0.242023
    -0.296  0.274041
    -0.197  0.298191
    -0.099  0.395826
    -0.000  0.475588
     0.098  0.546337
     0.197  0.655521
     0.295  0.732916
     0.394  0.799280
     0.492  0.843714
     0.591  0.888179
     0.689  0.914308
     0.788  0.935191
     0.886  0.951448
     0.985  0.964008
     1.083  0.969044
     1.182  0.975777
     1.280  0.980087
     1.379  0.979941
     1.477  0.979960
     1.576  0.980710
     1.674  0.979877
     1.773  0.982649
     1.871  0.973818
     1.970  0.973604
     2.069  0.979695
     2.167  0.970225
     2.266  0.975831
     2.364  0.954473
