   H   K   L     x     y   Run Frame
   0   4 -19   846    13     2     1
   1   4 -15   599     9     2     3
   2   3 -15   607     5     2    18
   4  -1 -18  1011    74     2    45
   5  -3 -15  1016   209     2    56
   0  -7  -2   495  1018     2    59
   6  -5 -10  1017   343     2    70
  -1  -5   1   197  1014     2    73
   7  -2  -8   907    13     2    84
   5  -9  -1  1012   818     2    89
   4   2  -5   327     2     2    88
   7  -6  -2  1012   416     2    93
   6  -8   0  1015   659     2    94
   3  -9   4   765  1018     2   100
  -7  -1   5   229     7    11     1
  -6  -6  -2     9   646    11     1
   0  -4  -7   742  1016    11     7
  -6  -5  -6     9   728    11    10
  -1  -4  -9   587  1011    11    22
  -6   2   2   455    14    11    24
  -7   2   0   290     5    11    26
  -7   3  -2   262     9    11    35
  -5   0 -16    12   832    11    45
  -2  -2 -14   394  1015    11    46
  -5   4   0   549    15    11    49
  -6   6  -6   236    10    11    60
  -2   0 -17   285  1011    11    61
  -6   7  -9    73    14    11    64
  -1   0 -16   401  1010    11    69
  -5   7  -6   294    13    11    73
  -5   8  -9   126    20    11    76
  -4   6  -2   531    12    11    77
  -3   5 -19    11   714    11    79
  -4   7  -4   427    16    11    84
   0   3 -19   224  1012    11    90
   0   4 -20   117  1011    11    92
