# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      119.4600391897    -1255.4324571000
      119.7100391897    -1255.4324914800
      119.9600391897    -1255.4325191100
      120.2100391897    -1255.4325400200
      120.4600391897    -1255.4325542200
      120.7100391897    -1255.4325614900
      120.9600391897    -1255.4325626600
      121.2100391897    -1255.4325569400
      121.4600391897    -1255.4325446000
      121.7100391897    -1255.4325256700
      121.9600391897    -1255.4325001700
      122.2100391897    -1255.4324681300
      122.4600391897    -1255.4324295200
      122.7100391897    -1255.4323842200
      122.9600391897    -1255.4323327600
      123.2100391897    -1255.4322746000
      123.4600391897    -1255.4322102400
      123.7100391897    -1255.4321392700
      123.9600391897    -1255.4320618600
      124.2100391897    -1255.4319778100
      124.4600391897    -1255.4318876100
      124.7100391897    -1255.4317910100
      124.9600391897    -1255.4316880500
      125.2100391897    -1255.4315787400
      125.4600391897    -1255.4314631000
      125.7100391897    -1255.4313411400
