# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      113.0000523696    -1255.4291580500
      113.2500523696    -1255.4293750500
      113.5000523696    -1255.4295845200
      113.7500523696    -1255.4297866100
      114.0000523696    -1255.4299813400
      114.2500523696    -1255.4301687500
      114.5000523696    -1255.4303488700
      114.7500523696    -1255.4305217100
      115.0000523696    -1255.4306873800
      115.2500523696    -1255.4308457400
      115.5000523696    -1255.4309970600
      115.7500523696    -1255.4311411900
      116.0000523696    -1255.4312781800
      116.2500523696    -1255.4314080900
      116.5000523696    -1255.4315309300
      116.7500523696    -1255.4316467300
      117.0000523696    -1255.4317555200
      117.2500523696    -1255.4318573300
      117.5000523696    -1255.4319521700
      117.7500523696    -1255.4320400800
      118.0000523696    -1255.4321210800
      118.2500523696    -1255.4321952000
      118.5000523696    -1255.4322624600
      118.7500523696    -1255.4323228800
      119.0000523696    -1255.4323765000
      119.2500523696    -1255.4324233400
      119.5000523696    -1255.4324634200
      119.7500523696    -1255.4324967700
      120.0000523696    -1255.4325234200
      120.2500523696    -1255.4325434000
      120.5000523696    -1255.4325567400
      120.7500523696    -1255.4325634700
      121.0000523696    -1255.4325636100
      121.2500523696    -1255.4325571900
      121.5000523696    -1255.4325442200
      121.7500523696    -1255.4325246900
      122.0000523696    -1255.4324985700
      122.2500523696    -1255.4324658500
      122.5000523696    -1255.4324264900
      122.7500523696    -1255.4323804900
      123.0000523696    -1255.4323278700
      123.2500523696    -1255.4322686900
      123.5000523696    -1255.4322030000
      123.7500523696    -1255.4321308900
      124.0000523696    -1255.4320524300
      124.2500523696    -1255.4319682800
      124.5000523696    -1255.4318771000
      124.7500523696    -1255.4317795300
      125.0000523696    -1255.4316756300
      125.2500523696    -1255.4315653600
      125.5000523696    -1255.4314485700
