# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      119.4599845874    -1334.0517273200
      119.7099845874    -1334.0517241400
      119.9599845874    -1334.0517129600
      120.2099845874    -1334.0516942200
      120.4599845874    -1334.0516680000
      120.7099845874    -1334.0516343000
      120.9599845874    -1334.0515931800
      121.2099845874    -1334.0515446100
      121.4599845874    -1334.0514886400
      121.7099845874    -1334.0514252700
      121.9599845874    -1334.0513545200
      122.2099845874    -1334.0512764000
      122.4599845874    -1334.0511909300
      122.7099845874    -1334.0510981300
      122.9599845874    -1334.0509980000
      123.2099845874    -1334.0508905400
      123.4599845874    -1334.0507758600
      123.7099845874    -1334.0506538700
      123.9599845874    -1334.0505246100
      124.2099845874    -1334.0503881000
      124.4599845874    -1334.0502443500
      124.7099845874    -1334.0500933800
      124.9599845874    -1334.0499351900
      125.2099845874    -1334.0497698100
      125.4599845874    -1334.0495972300
      125.7099845874    -1334.0494174800
