# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      113.0000746211    -1334.0491641300
      113.2500746211    -1334.0493607200
      113.5000746211    -1334.0495493200
      113.7500746211    -1334.0497298900
      114.0000746211    -1334.0499025200
      114.2500746211    -1334.0500671800
      114.5000746211    -1334.0502239200
      114.7500746211    -1334.0503727400
      115.0000746211    -1334.0505137300
      115.2500746211    -1334.0506468400
      115.5000746211    -1334.0507721400
      115.7500746211    -1334.0508896400
      116.0000746211    -1334.0509993400
      116.2500746211    -1334.0511012700
      116.5000746211    -1334.0511954500
      116.7500746211    -1334.0512819100
      117.0000746211    -1334.0513606600
      117.2500746211    -1334.0514317100
      117.5000746211    -1334.0514950900
      117.7500746211    -1334.0515508100
      118.0000746211    -1334.0515989000
      118.2500746211    -1334.0516393600
      118.5000746211    -1334.0516722100
      118.7500746211    -1334.0516974700
      119.0000746211    -1334.0517151500
      119.2500746211    -1334.0517252800
      119.5000746211    -1334.0517278700
      119.7500746211    -1334.0517229200
      120.0000746211    -1334.0517104700
      120.2500746211    -1334.0516905300
      120.5000746211    -1334.0516631100
      120.7500746211    -1334.0516282300
      121.0000746211    -1334.0515859100
      121.2500746211    -1334.0515361600
      121.5000746211    -1334.0514790000
      121.7500746211    -1334.0514144500
      122.0000746211    -1334.0513425100
      122.2500746211    -1334.0512632200
      122.5000746211    -1334.0511765700
      122.7500746211    -1334.0510826000
      123.0000746211    -1334.0509813000
      123.2500746211    -1334.0508727100
      123.5000746211    -1334.0507568200
      123.7500746211    -1334.0506336700
      124.0000746211    -1334.0505032400
      124.2500746211    -1334.0503655800
      124.5000746211    -1334.0502206700
      124.7500746211    -1334.0500685400
      125.0000746211    -1334.0499092100
      125.2500746211    -1334.0497426700
      125.5000746211    -1334.0495689400
