# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      119.4600510564    -1255.2344332000
      119.7100510564    -1255.2344763200
      119.9600510564    -1255.2345125800
      120.2100510564    -1255.2345419000
      120.4600510564    -1255.2345642900
      120.7100510564    -1255.2345797300
      120.9600510564    -1255.2345882800
      121.2100510564    -1255.2345899000
      121.4600510564    -1255.2345847000
      121.7100510564    -1255.2345726900
      121.9600510564    -1255.2345537100
      122.2100510564    -1255.2345285000
      122.4600510564    -1255.2344962900
      122.7100510564    -1255.2344578000
      122.9600510564    -1255.2344125700
      123.2100510564    -1255.2343608400
      123.4600510564    -1255.2343025500
      123.7100510564    -1255.2342376800
      123.9600510564    -1255.2341663800
      124.2100510564    -1255.2340883200
      124.4600510564    -1255.2340036500
      124.7100510564    -1255.2339123700
      124.9600510564    -1255.2338145000
      125.2100510564    -1255.2337100600
      125.4600510564    -1255.2335990700
      125.7100510564    -1255.2334815700
