# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      113.0000452830    -1255.2308485800
      113.2500452830    -1255.2310789100
      113.5000452830    -1255.2313016900
      113.7500452830    -1255.2315168900
      114.0000452830    -1255.2317245500
      114.2500452830    -1255.2319247300
      114.5000452830    -1255.2321174500
      114.7500452830    -1255.2323028100
      115.0000452830    -1255.2324807200
      115.2500452830    -1255.2326512800
      115.5000452830    -1255.2328144000
      115.7500452830    -1255.2329701200
      116.0000452830    -1255.2331184600
      116.2500452830    -1255.2332594400
      116.5000452830    -1255.2333930800
      116.7500452830    -1255.2335194500
      117.0000452830    -1255.2336385700
      117.2500452830    -1255.2337504900
      117.5000452830    -1255.2338552600
      117.7500452830    -1255.2339529200
      118.0000452830    -1255.2340435200
      118.2500452830    -1255.2341271100
      118.5000452830    -1255.2342037300
      118.7500452830    -1255.2342734400
      119.0000452830    -1255.2343362700
      119.2500452830    -1255.2343922600
      119.5000452830    -1255.2344414300
      119.7500452830    -1255.2344838000
      120.0000452830    -1255.2345193700
      120.2500452830    -1255.2345481500
      120.5000452830    -1255.2345701600
      120.7500452830    -1255.2345853500
      121.0000452830    -1255.2345936500
      121.2500452830    -1255.2345949700
      121.5000452830    -1255.2345892200
      121.7500452830    -1255.2345764200
      122.0000452830    -1255.2345566500
      122.2500452830    -1255.2345300700
      122.5000452830    -1255.2344968300
      122.7500452830    -1255.2344570800
      123.0000452830    -1255.2344109200
      123.2500452830    -1255.2343587800
      123.5000452830    -1255.2342994700
      123.7500452830    -1255.2342336500
      124.0000452830    -1255.2341612200
      124.2500452830    -1255.2340821900
      124.5000452830    -1255.2339965800
      124.7500452830    -1255.2339044100
      125.0000452830    -1255.2338056300
      125.2500452830    -1255.2337002900
      125.5000452830    -1255.2335884200
