# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
      113.0000438183    -1333.8241424100
      113.2500438183    -1333.8243547200
      113.5000438183    -1333.8245587800
      113.7500438183    -1333.8247545000
      114.0000438183    -1333.8249419800
      114.2500438183    -1333.8251211800
      114.5000438183    -1333.8252922100
      114.7500438183    -1333.8254742200
      115.0000438183    -1333.8256288000
      115.2500438183    -1333.8257752400
      115.5000438183    -1333.8259136500
      115.7500438183    -1333.8260439700
      116.0000438183    -1333.8261662700
      116.2500438183    -1333.8262805700
      116.5000438183    -1333.8263868900
      116.7500438183    -1333.8264852400
      117.0000438183    -1333.8265756600
      117.2500438183    -1333.8266581600
      117.5000438183    -1333.8267327400
      117.7500438183    -1333.8267994400
      118.0000438183    -1333.8268582500
      118.2500438183    -1333.8269092100
      118.5000438183    -1333.8269523300
      118.7500438183    -1333.8269876300
      119.0000438183    -1333.8270151300
      119.2500438183    -1333.8270348500
      119.5000438183    -1333.8270468300
      119.7500438183    -1333.8270510800
      120.0000438183    -1333.8270476200
      120.2500438183    -1333.8270364700
      120.5000438183    -1333.8270176600
      120.7500438183    -1333.8269912000
      121.0000438183    -1333.8269571100
      121.2500438183    -1333.8269154000
      121.5000438183    -1333.8268660800
      121.7500438183    -1333.8268091500
      122.0000438183    -1333.8267446300
      122.2500438183    -1333.8266725200
      122.5000438183    -1333.8265928400
      122.7500438183    -1333.8265056000
      123.0000438183    -1333.8264108400
      123.2500438183    -1333.8263085800
      123.5000438183    -1333.8261988500
      123.7500438183    -1333.8260816800
      124.0000438183    -1333.8259570900
      124.2500438183    -1333.8258250900
      124.5000438183    -1333.8256856800
      124.7500438183    -1333.8255388500
      125.0000438183    -1333.8253845900
      125.2500438183    -1333.8252229000
      125.5000438183    -1333.8250537700
