CS1	-0.089
CS2	1.084
CS3	-0.727
CS4	-0.452
SS 	-0.375
OS 	-0.749
HS 	0.137
CD1	-0.089
CD2	1.084
CD3	-0.727
CD4	-0.452
SD 	-0.375
OD 	-0.749
HD 	0.137
C0 	0.446
H01	-0.094
H02	-0.094
C1 	0.407
H11	-0.063
H12	-0.063
O2 	-0.599
C3 	0.39
H31	-0.064
H32	-0.064
C4 	0.372
H41	-0.056
H42	-0.056
O5 	-0.58
C6 	0.389
H61	-0.057
H62	-0.057
C7 	0.313
H71	-0.04
H72	-0.04
O8 	-0.501
C9 	0.311
H91	-0.055
H92	-0.01
H93	-0.055
Caa	0.446
Ha1	-0.094
Ha2	-0.094
Cb 	0.407
Hb1	-0.063
Hb2	-0.063
Oc 	-0.599
Cd 	0.39
Hd1	-0.064
Hd2	-0.064
Ce 	0.372
He1	-0.056
He2	-0.056
Of 	-0.58
Cg 	0.389
Hg1	-0.057
Hg2	-0.057
Ch 	0.313
Hh1	-0.04
Hh2	-0.04
Oi 	-0.501
Cj 	0.311
Hj1	-0.055
Hj2	-0.01
Hj3	-0.055
SnS	3.815
Cx1	-2.549
Hx1	0.555
Hx2	0.541
Hx3	0.544
Cx2	-2.564
Hx4	0.556
Hx5	0.555
Hx6	0.546
Cx3	-2.551
Hx7	0.548
Hx8	0.544
Hx9	0.551
SnD	3.815
Cy1	-2.549
Hy1	0.555
Hy2	0.541
Hy3	0.544
Cy2	-2.564
Hy4	0.556
Hy5	0.555
Hy6	0.546
Cy3	-2.551
Hy7	0.548
Hy8	0.544
Hy9	0.551
