CS1	-0.096					
CS2	0.638					
CS3	-0.442					
CS4	-0.316					
SS 	-0.043					
OS 	-0.670					
HS 	0.174					
CD1	-0.096					
CD2	0.638					
CD3	-0.442					
CD4	-0.316					
SD 	-0.043					
OD 	-0.670					
HD 	0.174					
C0 	+0.407					
H01	+0.008					
H02	+0.008					
C1 	+0.385					
H11	+0.005					
H12	+0.005					
O2 	-0.798					
C3 	+0.388					
H31	-0.011					
H32	-0.011					
C4 	+0.509					
H41	-0.028					
H42	-0.028					
O5 	-0.770					
C6 	+0.308					
H61	+0.000					
H62	+0.000					
C7 	+0.327					
H71	+0.021					
H72	+0.021					
O8 	-0.532					
C9 	-0.055					
H91	+0.087					
H92	+0.087					
H93	+0.087					
Caa	0.407					
Ha1	0.008					
Ha2	0.008					
Cb 	0.385					
Hb1	0.005					
Hb2	0.005					
Oc 	-0.798					
Cd 	0.388					
Hd1	-0.011					
Hd2	-0.011					
Ce 	0.509					
He1	-0.028					
He2	-0.028					
Of 	-0.770					
Cg 	0.308					
Hg1	0.000					
Hg2	0.000					
Ch 	0.327					
Hh1	0.021					
Hh2	0.021					
Oi 	-0.532					
Cj 	-0.055					
Hj1	0.087					
Hj2	0.087					
Hj3	0.087					
SnS	+1.161					
Cx1	-0.816					
Hx1	+0.182					
Hx2	+0.182					
Hx3	+0.182					
Cx2	-0.782					
Hx4	+0.165					
Hx5	+0.165					
Hx6	+0.165					
Cx3	-0.842					
Hx7	+0.191					
Hx8	+0.191					
Hx9	+0.191					
SnD	1.161					
Cy1	-0.816					
Hy1	0.182					
Hy2	0.182					
Hy3	0.182					
Cy2	-0.782					
Hy4	0.165					
Hy5	0.165					
Hy6	0.165					
Cy3	-0.842					
Hy7	0.191					
Hy8	0.191					
Hy9	0.191					
